nctId,conditions,classification
NCT03196830,"Relapsed Non Hodgkin Lymphoma, Refractory Non-Hodgkin Lymphoma, CAR - T CD19/CD20/CD22/CD30",blood cancer
NCT06156774,"Non-hodgkin Lymphoma,B Cell",blood cancer
NCT04842812,"Liver Cancer, Lung Cancer, Breast Cancer, Colo-rectal Cancer, Brain Tumor, Solid Tumor, Adult, PD1, CTLA4",solid tumor
NCT06503107,Multiple Myeloma,blood cancer
NCT05538195,"Gastric Cancer, Colon Cancer, Rectal Cancer, Esophageal Cancer, Pancreatic Cancer",solid tumor
NCT04877080,B-cell Lymphoma,blood cancer
NCT04792593,B-ALL,others
NCT06701201,Cancer,solid tumor
NCT04650451,"HER-2 Gene Amplification, HER2-positive Gastric Cancer, HER2-positive Breast Cancer, HER-2 Protein Overexpression, Solid Tumor, Adult",solid tumor
NCT02349724,"Lung Cancer, Colorectal Cancer, Gastric Cancer, Breast Cancer, Pancreatic Cancer",solid tumor
NCT02713984,"Breast Cancer, Ovarian Cancer, Lung Cancer, Gastric Cancer, Colorectal Cancer, Glioma, Pancreatic Cancer",solid tumor
NCT06355908,Glioma,solid tumor
NCT05783089,Mesothelin-positive Advanced Malignant Solid Tumors,solid tumor
NCT05247957,Safety and Efficacy,others
NCT05976555,Multiple Myeloma,blood cancer
NCT04265963,"Leukemia, Leukemia, Myeloid, Leukemia, Myeloid, Acute",blood cancer
NCT05779917,"Pancreas Cancer, CAR-T Cell Therapy, Mesothelin, Solid Tumor, Adult",solid tumor
NCT04572308,T-cell Acute Lymphoblastic Leukemia/Lymphoma,blood cancer
NCT06458439,"Lymphoma, Non-Hodgkin, Relapsed Diffuse Large B Cell Lymphoma, Refractory Diffuse Large B-cell Lymphoma, High-grade B-cell Lymphoma, Transformed Indolent Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma",blood cancer
NCT06696846,"Relapsed/refractory T-cell Lymphoma, Relapsed/refractory Acute Myeloid Leukemia",blood cancer
NCT06227026,"Acute Lymphoblastic Leukemia, Diffuse Large B Cell Lymphoma",blood cancer
NCT06428188,"Autoimmune Diseases, Systemic Lupus Erythematosus, Systemic Lupus Erythematosus Acute, Sjogren's Syndrome",others
NCT05468190,"Metastatic Tumor, Advanced Solid Tumor, Renal Cell Carcinoma, Ovarian Cancer, Cervix Cancer",solid tumor
NCT05420545,"Metastatic Tumor, Advanced Solid Tumor, Renal Cell Carcinoma, Ovarian Cancer, Cervix Cancer",solid tumor
NCT06880380,"HIV Infected Individuals, HIV",others
NCT06340750,Systemic Lupus Erythematosus,others
NCT06828341,Gliomas,solid tumor
NCT05373147,Solid Tumor,solid tumor
NCT06911710,"Lymphoma, B-cell, Aggressive Non-Hodgkin (B-NHL), AML (Acute Myelogenous Leukemia), Myeloma Multiple, B-ALL, T-ALL/Lymphoma, T-lymphocyte Lymphoma",blood cancer
NCT06126406,"Gastric Cancer, Colon Cancer, Rectal Cancer, Breast Cancer, Lung Cancer, Esophagus Cancer, Cholangiocarcinoma, Pancreas Cancer",solid tumor
NCT06830031,"Diffuse Large B-cell-lymphoma, DLBCL, Nos Genetic Subtypes, Follicular Lymphoma Grade 3B, PMBL, HGBL With MYC and BCL2 and/or BCL6 Rearrangements, HGBL, Nos",blood cancer
NCT06690827,"AML (Acute Myeloid Leukemia), BPDCN (blastic Plasmacytoid Dendritic Cell Neoplasm)",blood cancer
NCT06333275,Vaccine Immunity in CAR-T Cell Therapy Recipients,others
NCT04903080,Ependymoma,others
NCT05518253,"Metastatic Tumor, Advanced Solid Tumor, Renal Cell Carcinoma, Ovarian Cancer, Cervix Cancer",solid tumor
NCT06350994,"Car T- Cell, Hematologic Malignancy, Acute Lymphoblastic Leukemia, Lymphoma, B-Cell, Multiple Myeloma",blood cancer
NCT02575261,"EphA2 Positive Malignant Glioma, CAR-T Cell Immunotherapy",solid tumor
NCT03267173,"Pancreatic Cancer, CAR",solid tumor
NCT03302403,"B Cell Lymphoma, B Cell Leukemia, Myeloma, Hepatocellular Carcinoma, Pancreatic Carcinoma, Adenocarcinoma of Esophagogastric Junction",blood cancer
NCT05641428,"NHL, DLBCL - Diffuse Large B Cell Lymphoma",blood cancer
NCT05445765,"Relapsed and/or Refractory Acute Myeloid Leukemia, High Risk Hematologic Malignancies",blood cancer
NCT05270772,CD19+ Relapse/Refractory B-ALL,others
NCT05513612,"Acute Myeloid Leukemia (AML), B-cell Non-Hodgkin's Lymphoma (B-NHL), Multiple Myeloma (MM), T-Cell Leukemia/Lymphoma, Adult, B-cell Acute Lymphoblastic Leukemia (B-ALL)",blood cancer
NCT03013712,"Colon Cancer, Esophageal Carcinoma, Pancreatic Cancer, Prostate Cancer, Gastric Cancer, Hepatic Carcinoma",solid tumor
NCT06913192,Multiple Myeloma,blood cancer
NCT05420519,"Metastatic Tumor, Renal Cell Carcinoma, Advanced Cancer",solid tumor
NCT06691308,Recurrent or Progressive Glioblastoma,solid tumor
NCT05507827,Lymphoid Leukemia,blood cancer
NCT06316856,"T-Cell Acute Lymphocytic Leukemia, Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoblastic Leukemia, T-cell Malignancies",blood cancer
NCT06617286,Classical Hodgkin Lymphoma,blood cancer
NCT05366569,"Diffuse Large B Cell Lymphoma (DLBCL), Primary Mediastinal Large B-cell Lymphoma (PMBCL), Acute Lymphoblastic Leukemia (ALL)",blood cancer
NCT04303247,"B-cell Lymphoma Refractory, B-cell Lymphoma Recurrent",blood cancer
NCT06462248,"Lymphoma, Nonhodgkin, Leukemia, Lymphocytic",blood cancer
NCT04272151,"Multiple Myeloma, Multiple Myeloma in Relapse, Neoplasm, Plasma Cell",blood cancer
NCT04546906,B-ALL,others
NCT03754764,Relapsed B-cell Acute Lymphoblastic Leukemia After CD19 CAR-T ACI,blood cancer
NCT05210907,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT04796675,"Acute Lymphocytic Leukemia, Chronic Lymphocytic Leukemia, Non Hodgkin's Lymphoma",blood cancer
NCT06478459,Pancreatic Cancer Non-resectable,solid tumor
NCT06369389,Hemopathy,others
NCT05396300,"Colorectal Cancer, Esophageal Cancer, Stomach Cancer, Pancreatic Cancer, Metastatic Tumor, Recurrent Cancer",solid tumor
NCT06394622,Solid Tumor,solid tumor
NCT04503980,"Colorectal Cancer, Ovarian Cancer",solid tumor
NCT06653010,"CRC (colorectal Cancer), Metastatic Colorectal Cancer",solid tumor
NCT06420063,"AML, Acute Myeloid Leukemia, AML, Adult Recurrent, AML, Adult",blood cancer
NCT06760260,Acute Myeloid Leukemia (AML),blood cancer
NCT05535855,"Acute Lymphoid Leukemia, Acute Lymphoblastic Leukemia",blood cancer
NCT06846424,"Ovarian Cancer, Fallopian Tube Carcinoma, Peritoneal Carcinoma",solid tumor
NCT06559189,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT05420493,"Relapsed Non-Hodgkin Lymphoma, Refractory Non-Hodgkin Lymphoma, Non Hodgkin Lymphoma",blood cancer
NCT04010877,Acute Myeloid Leukemia,blood cancer
NCT06464861,"Primary Mediastinal B-cell Lymphoma (PMBCL), Mantle Cell Lymphoma (MCL), Diffuse Large B Cell Lymphoma( DLBCL)",blood cancer
NCT05054231,Hematologic Neoplasms,blood cancer
NCT06429150,"Multiple Myeloma, Plasmacytoma",blood cancer
NCT05302648,Multiple Myeloma,blood cancer
NCT06485232,"Neuromyelitis Optica Spectrum Disorders, Myasthenia Gravis, Generalized, Multiple Sclerosis, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",others
NCT05995041,Acute Myeloid Leukemia,blood cancer
NCT05477446,Langerhans Cell Histiocytosis,others
NCT06909474,T-ALL/Lymphoma,blood cancer
NCT04163575,"Leukemia, Lymphoma",blood cancer
NCT05745181,"Acute T-lymphoblastic Leukemia, Acute T-lymphoblastic Lymphoma",blood cancer
NCT04271644,"Multiple Myeloma, Neoplasm, Plasma Cell, Multiple Myeloma in Relapse",blood cancer
NCT05807789,Hematologic Malignancy,blood cancer
NCT06720324,Hematologic Malignancy,blood cancer
NCT06081478,"B-cell Acute Lymphoblastic Leukemia, B-cell Lymphoma, Diffuse Large B Cell Lymphoma",blood cancer
NCT06783816,"Acute Lymphocytic Leukemia, Lymphoma,Non-Hodgkin, Relapsed Refractory Multiple Myeloma",blood cancer
NCT04272125,"Leukemia, Leukemia, Myeloid, Leukemia, Myeloid, Acute",blood cancer
NCT05858684,CAR-T Cell Therapy,others
NCT06718738,Colorectal Cancer (CRC),solid tumor
NCT03851146,Advanced Cancer,solid tumor
NCT02876978,Lung Squamous Cell Carcinoma,solid tumor
NCT06652633,Hematological Malignancies,blood cancer
NCT06777979,"Acute Lymphoblastic Leukemia, Recurrent Acute Lymphoblastic Leukemia, Recurrent B Acute Lymphoblastic Leukemia",blood cancer
NCT05309213,Leukemia,blood cancer
NCT05654077,Nasopharyngeal Carcinoma,solid tumor
NCT02965092,"Acute Lymphoblastic Leukemia, B Cell Lymphoma",blood cancer
NCT06642025,"Acute Myeloid Leukemia (AML), CAR-T",blood cancer
NCT05528341,Relapsed/Refractory Solid Tumors,solid tumor
NCT03258047,B Cell Lymphoma,blood cancer
NCT06132711,Multiple Myeloma,blood cancer
NCT05415475,"Colorectal Cancer, Esophageal Cancer, Stomach Cancer, Pancreatic Cancer, Metastatic Tumor, Recurrent Cancer",solid tumor
NCT06006403,"Acute Myeloid Leukemia, Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN), Relapse Leukemia, Refractory Leukemia",blood cancer
NCT06439173,Diffuse Large B Cell Lymphoma,blood cancer
NCT05652530,"Immunotherapy, Multiple Myeloma",blood cancer
NCT04489862,"Non-small-cell Lung Cancer, Mesothelioma",solid tumor
NCT03952923,B-cell Malignancy,others
NCT04626739,Refractory Indolent Adult Non-Hodgkin Lymphoma,blood cancer
NCT06716164,"Non-hodgkin Lymphoma,B Cell",blood cancer
NCT06836505,"Neuroblastoma (NB), Desmoplastic Small Round Cell Tumor (DSRCT)",solid tumor
NCT03840317,Acute Lymphocytic Leukemia,blood cancer
NCT05388305,AML,others
NCT05020392,"Diffuse Large B Cell Lymphoma, Burkitt Lymphoma, Follicular Lymphoma, Chronic Lymphocytic Leukemia, Mantle Cell Lymphoma",blood cancer
NCT05315778,ITP,others
NCT05038696,"Lymphoblastic Leukemia, Acute, Childhood, Lymphoblastic Leukemia, Lymphoblastic Leukemia, Acute Adult, Lymphoblastic Leukemia in Children, CAR, CAR T-Cell-Related Encephalopathy Syndrome",blood cancer
NCT06762132,Acute Myeloid Leukemia,blood cancer
NCT02547948,B Cell Lymphoma,blood cancer
NCT04638270,"Lymphoma, Non-Hodgkin",blood cancer
NCT06866873,"Lymphoma, B-Cell, Acute Lymphoblastic Leukemia, Pediatric",blood cancer
NCT06661811,Autoimmune Diseases,others
NCT04271410,"Leukemia, Lymphoma, Large B-Cell, Diffuse, Leukemia, B-cell, Lymphoma, B-Cell, Leukemia, Lymphocytic, Chronic, B-Cell",blood cancer
NCT03252171,"GD2 Positive Glioma, CAR-T Cell Immunotherapy",solid tumor
NCT05212584,"Relapsed/Refractory, High Risk Hematologic Malignancies, T-ALL/Lymphoma",blood cancer
NCT05544526,"Diffuse Midline Glioma, H3 K27M-Mutant",solid tumor
NCT06277011,"Acute Lymphoblastic Leukemia, Non-hodgkin Lymphoma",blood cancer
NCT03758417,Multiple Myeloma,blood cancer
NCT06045091,"Multiple Myeloma, Plasma Cell Leukemia",blood cancer
NCT06752785,Acute Lymphoblastic Leukemia,blood cancer
NCT06120166,Diffuse Large B-cell Lymphoma,blood cancer
NCT06711146,Systemic Lupus Erythematosus,others
NCT05312476,Relapsed/Refractory B-cell Non-Hodgkin's Lymphoma,blood cancer
NCT05164042,"Relapse Leukemia, Refractory Leukemia",blood cancer
NCT04626765,Childhood Acute Lymphoblastic Leukemia,blood cancer
NCT04447573,Multiple Myeloma,blood cancer
NCT06327997,Solid Tumor,solid tumor
NCT04100187,Leukemia,blood cancer
NCT04271800,"Leukemia, Lymphoma, Leukemia, B-Cell, Leukemia, Lymphocytic, Chronic, B-Cell",blood cancer
NCT03500991,"Central Nervous System Tumor, Pediatric, Glioma, Ependymoma, Medulloblastoma, Germ Cell Tumor, Atypical Teratoid/Rhabdoid Tumor, Primitive Neuroectodermal Tumor, Choroid Plexus Carcinoma, Pineoblastoma",solid tumor
NCT02915445,"Malignant Neoplasm of Nasopharynx TNM Staging Distant Metastasis (M), Breast Cancer Recurrent, Gastric Cancer With Metastasis",solid tumor
NCT05410717,"Stage IV Ovarian Cancer, Testis Cancer, Refractory, Endometrial Cancer Recurrent, CAR NK",solid tumor
NCT03664661,Relapsed/Refractory Myeloma,blood cancer
NCT06238336,Hematological Malignancy,blood cancer
NCT05651191,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT06249256,Solid Tumor,solid tumor
NCT05523661,"Ph Positive ALL, CAR-T Cell, Dasatinib",others
NCT03121625,"Leukemia, Lymphoma",blood cancer
NCT06464965,"Gastric Cancer, Pancreas Adenocarcinoma",solid tumor
NCT04506983,Hepatocellular Carcinoma,solid tumor
NCT06248697,Solid Tumor,solid tumor
NCT06393335,"Acute Lymphoblastic Leukemia, Non-hodgkin Lymphoma",blood cancer
NCT06182735,Renal Cell Carcinoma,solid tumor
NCT04214886,"B-Cell Acute Lymphoblastic Leukemia, Adult, B-cell Lymphoma Refractory, B-cell Lymphoma Recurrent",blood cancer
NCT05797948,Relapsed or Refractory B-cell Non-Hodgkin Lymphoma,blood cancer
NCT06815432,Glioblastoma Multiforme of Brain,solid tumor
NCT04185038,"Central Nervous System Tumor, Diffuse Intrinsic Pontine Glioma, Diffuse Midline Glioma, Ependymoma, Medulloblastoma, Childhood, Germ Cell Tumor, Atypical Teratoid/Rhabdoid Tumor, Primitive Neuroectodermal Tumor, Choroid Plexus Carcinoma, Pineoblastoma, Childhood, Glioma",solid tumor
NCT02958410,"Leukemia, Lymphoma",blood cancer
NCT04348643,"Solid Tumor, Lung Cancer, Colorectal Cancer, Liver Cancer, Pancreatic Cancer, Gastric Cancer, Breast Cancer",solid tumor
NCT02782351,"Leukemia, Lymphocytic, Chronic, B-Cell",blood cancer
NCT05574608,"Acute Myeloid Leukemia Refractory, Acute Myeloid Leukemia Recurrent",blood cancer
NCT02958397,Myeloid Malignancies,blood cancer
NCT02958384,Myeloid Malignancies,blood cancer
NCT04406610,"Glioma of Brain, CAR-T Cell Immunotherapy",solid tumor
NCT04270461,"Hepatocellular Carcinoma, Glioblastoma, Medulloblastoma, Colon Cancer",solid tumor
NCT02274584,Lymphomas,blood cancer
NCT06827782,Refractory/recurrent Central Nervous System Lymphoma,blood cancer
NCT04275154,Hematologic Neoplasms,blood cancer
NCT04088890,"B-ALL, B-cell Non Hodgkin Lymphoma, DLBCL, Follicular Lymphoma Grade 3B",blood cancer
NCT04029038,"CD19 Positive, CD22 Positive, Minimal Residual Disease, Progressive Disease, Recurrent B Acute Lymphoblastic Leukemia, Recurrent Chronic Lymphocytic Leukemia, Recurrent Non-Hodgkin Lymphoma, Refractory B Acute Lymphoblastic Leukemia, Refractory Chronic Lymphocytic Leukemia, Refractory Non-Hodgkin Lymphoma",blood cancer
NCT05868083,Recurrent Glioblastoma Multiforme,solid tumor
NCT02937103,Leukemia,blood cancer
NCT04381741,Diffuse Large B-cell Lymphoma,blood cancer
NCT06209671,"Leukemia, B-cell",blood cancer
NCT05577000,"Refractory Multiple Myeloma, Relapsed Multiple Myeloma",blood cancer
NCT04594135,"T-cell Acute Lymphoblastic Leukemia, T-cell Non-Hodgkin Lymphoma",blood cancer
NCT05596266,T-cell Acute Lymphoblastic Leukemia,blood cancer
NCT05323201,Hepatocellular Carcinoma,solid tumor
NCT06609928,"Recurrent Childhood Acute Myeloid Leukemia, Refractory Childhood Acute Myeloid Leukemia",blood cancer
NCT02710149,"Leukemia, Lymphoma",blood cancer
NCT05943314,Acute Myeloid Leukemia,blood cancer
NCT05008575,"Leukemia, Myeloid, Acute",blood cancer
NCT04892433,CAR-T Therapy Complications,others
NCT03226704,"Leukemia, Lymphoma, Acute Lymphoblastic Leukemia, Diffuse Large B Cell Lymphoma, Non-Hodgkin's Lymphoma",blood cancer
NCT05691153,"CAR, B Cell Lymphoma, Relapsed Non-Hodgkin Lymphoma",blood cancer
NCT04260932,B-cell Lymphoma,blood cancer
NCT05225363,Platinum-Resistant Ovarian Carcinoma,solid tumor
NCT03312205,"Leukemia, Lymphoma, Multiple Myeloma of Bone (Diagnosis)",blood cancer
NCT02737085,"Lymphoma, Large B-Cell, Diffuse",blood cancer
NCT04546893,B-ALL,others
NCT02186860,Acute Lymphoblastic Leukemia,blood cancer
NCT06454890,Non-Small Cell Lung Cancer NSCLC,solid tumor
NCT06087341,Advanced Sarcoma,solid tumor
NCT05776355,Ovarian Cancer,solid tumor
NCT05659628,Diffuse Large B-cell Lymphoma,blood cancer
NCT03322735,Multiple Myeloma,blood cancer
NCT04723914,"Lymphoma, B-Cell, Relapse/Recurrence, Refractory Lymphoma, Dual-target CAR-T Cells",blood cancer
NCT04260945,B-cell Leukemia,blood cancer
NCT05734898,AML,others
NCT05619861,"Lymphoma, B-Cell, Leukemia, B-cell, Leukemia, T-Cell, Multiple Myeloma",blood cancer
NCT04420754,"Anaplastic Thyroid Cancer, Relapsed/Refractory Poorly Differentiated Thyroid Cancer",solid tumor
NCT05248048,Refractory Metastatic Colorectal Cancer,solid tumor
NCT06913179,Multiple Myeloma,blood cancer
NCT06501183,CDH17-positive Advanced Malignant Solid Tumors,solid tumor
NCT06685042,"Lupus Erythematosus, Systemic, System; Sclerosis, ANCA Associated Vasculitis, Dermatomyositis, Polymyositis",others
NCT05414162,"DLBCL, Multiple Myeloma, Cytokine Release Syndrome, Myocarditis, CAR T-cell Therapy, ALL, PCBCL, Follicular Lymphoma, MCL",blood cancer
NCT04639739,NHL,others
NCT02659943,"Lymphoma, B-Cell, Lymphoma, Non-hodgkins",blood cancer
NCT04121273,Hepatocellular Carcinoma,solid tumor
NCT03240328,HIV/AIDS,others
NCT06758713,"Multiple Myeloma, B-cell Lymphoma, Hematological Malignancy",blood cancer
NCT06653023,"HCC - Hepatocellular Carcinoma, NSCLC (advanced Non-small Cell Lung Cancer)",solid tumor
NCT05211557,Ovarian Cancer,solid tumor
NCT05648019,"Lymphoblastic Leukemia, Lymphoblastic Leukemia in Children, Lymphoblastic Leukemia, Acute Adult, B-cell Acute Lymphoblastic Leukemia, Large B-cell Lymphoma, CAR",blood cancer
NCT06412458,"Refractory Osteosarcoma, Recurrent Osteosarcoma",solid tumor
NCT06739226,Melanoma,others
NCT05043571,"Lymphoblastic Leukemia, Acute, Childhood, Lymphoblastic Leukemia, Lymphoblastic Leukemia, Acute Adult, Lymphoblastic Leukemia in Children, CAR, CAR T-Cell-Related Encephalopathy Syndrome, Refractory Leukemia",blood cancer
NCT04534634,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT05909527,T-Cell Acute Lymphocytic Leukemia,blood cancer
NCT03488160,Lymphoma,blood cancer
NCT04648475,"Leukemia, B-cell, Lymphoma, B-Cell",blood cancer
NCT06339255,"Diffuse Low Grade B-Cell Lymphoma, Primary Mediastinal Large B-cell Lymphoma (PMBCL), Mantle Cell Lymphoma, Follicular Lymphoma",blood cancer
NCT05887167,"Hematologic Malignancy, Large B-cell Lymphoma, Acute Lymphoblastic Leukemia, Mantle Cell Lymphoma, Multiple Myeloma, Diffuse Large B Cell Lymphoma",blood cancer
NCT05554575,T Cell Lymphoblastic Lymphoma,blood cancer
NCT05215015,Acute Myeloid Leukemia,blood cancer
NCT05020444,"Multiple Myeloma, Multiple Myeloma in Relapse, Refractory Multiple Myeloma",blood cancer
NCT05240950,"Colorectal Cancer, Metastatic Liver Cancer",solid tumor
NCT05463640,AML,others
NCT05397132,Hematologic Malignancy,blood cancer
NCT04684459,"Peritoneal Carcinoma Metastatic, Pleural Effusion, Malignant, HER2 Positive Malignancies",solid tumor
NCT05410041,"Acute Lymphocytic Leukemia, Chronic Lymphocytic Leukemia, Non Hodgkin Lymphoma",blood cancer
NCT06658951,HER2-positive Advanced Malignant Solid Tumors,solid tumor
NCT02954445,"Leukemia, Lymphoma, Multiple Myeloma",blood cancer
NCT04781634,B-ALL,others
NCT02935153,"Leukemia, Lymphoma",blood cancer
NCT05432635,"B-Cell Non-Hodgkin Lymphoma, Diffuse Large B-Cell Lymphoma, Mantle Cell Lymphoma, Recurrent B-Cell Non-Hodgkin Lymphoma, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Transformed Non-Hodgkin Lymphoma, Transformed Non-Hodgkin Lymphoma",blood cancer
NCT05089266,Colorectal Cancer,solid tumor
NCT06728189,Advanced Malignant Solid Tumors,solid tumor
NCT05871684,Diffuse Large B Cell Lymphoma,blood cancer
NCT04788472,"B-Cell Acute Lymphoblastic Leukemia, Adult",blood cancer
NCT06316427,"T-cell Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoblastic Leukemia, T-cell Malignancies",blood cancer
NCT05487495,T-Cell Acute Lymphoblastic Leukemia/Lymphoma,blood cancer
NCT05354375,Immunotherapy,others
NCT05137275,Locally Advanced or Metastatic Solid Tumors,solid tumor
NCT04385173,"Recurrent Glioblastoma, Refractory Glioblastoma",solid tumor
NCT06013111,Carcinoma,solid tumor
NCT03159819,"Advanced Gastric Adenocarcinoma, Pancreatic Adenocarcinoma",solid tumor
NCT04303520,CD19-positive ALL,others
NCT06461624,Advanced Hepatocellular Carcinoma,solid tumor
NCT06633341,T-lymphoblastic Lymphoma,blood cancer
NCT05941156,"Extranodal NK T Cell Lymphoma, NK-Cell Leukemia",blood cancer
NCT06688799,Autoimmune Diseases,others
NCT06464679,Autoimmune Diseases,others
NCT05801939,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT03275493,"Acute Lymphoblastic Leukemia, CD19 Positive, Relapse, Refractory",blood cancer
NCT04513431,"Stage III Colorectal Cancer, Colorectal Cancer Liver Metastasis",solid tumor
NCT06101082,Solid Tumor,solid tumor
NCT03068416,"B-cell Leukemia, B-Cell Lymphoma",blood cancer
NCT05952804,Lymphoma,blood cancer
NCT02311621,"Neuroblastoma, Ganglioneuroblastoma",others
NCT03186118,CD 19+ Acute Leukemia,blood cancer
NCT03198052,"Lung Cancer, Cancer, Immunotherapy, CAR-T Cell",solid tumor
